"amount","course","profit","correct","average","mis"
7620,5000,2620,429,4.4,49
8400,5000,3400,462,4.6,36
6300,5000,1300,362,4.0,59
6880,5000,1880,378,4.0,53
7620,5000,2620,402,4.3,47
6700,5000,1700,386,4.1,30
7080,5000,2080,389,4.2,58
6900,5000,1900,378,4.1,71
7620,5000,2620,400,4.3,48
7440,5000,2440,401,4.3,62
7060,5000,2060,393,4.2,49
7440,5000,2440,419,4.5,38
6700,5000,1700,386,4.1,30
7440,5000,2440,401,4.2,39
6900,5000,1900,384,4.1,46
6420,5000,1420,361,3.9,42
7800,5000,2800,435,4.4,32
7800,5000,2800,411,4.2,34
6720,5000,1720,370,4.0,38
7800,5000,2800,428,4.2,34
7260,5000,2260,396,4.1,54
7440,5000,2440,403,4.2,49
7260,5000,2260,405,4.3,40
7260,5000,2260,404,4.2,59
7080,5000,2080,383,4.0,57
7080,5000,2080,392,4.1,58
7980,5000,2980,446,4.5,34
7440,5000,2440,401,4.2,43
7080,5000,2080,392,4.3,54
7800,5000,2800,423,4.5,38
7440,5000,2440,407,4.2,48
7260,5000,2260,402,4.3,48
6900,5000,1900,385,4.2,47
7200,5000,2200,407,4.3,54
7200,5000,2200,407,4.3,54
7620,5000,2620,424,4.4,53
7260,5000,2260,405,4.2,61
7440,5000,2440,402,4.3,53
7620,5000,2620,427,4.5,47
7440,5000,2440,415,4.4,49
7800,5000,2800,425,4.4,50
7800,5000,2800,420,4.4,41
7260,5000,2260,392,4.2,70
7620,5000,2620,416,4.5,56
6720,5000,1720,374,4.1,79
7440,5000,2440,406,4.3,51
5820,5000,820,321,3.5,83
6700,5000,1700,388,4.1,53
5920,5000,920,365,4.0,66
6700,5000,1700,394,4.2,52
7080,5000,2080,395,4.3,45
7440,5000,2440,410,4.4,57
7240,5000,2240,421,4.3,54
7440,5000,2440,412,4.4,45
7980,5000,2980,436,4.5,38
6900,5000,1900,378,4.0,63
7620,5000,2620,413,4.3,48
7620,5000,2620,427,4.5,41
6720,5000,1720,377,4.1,74
8160,5000,3160,443,4.6,42
6300,5000,1300,368,4.0,92
6900,5000,1900,377,4.1,64
7980,5000,2980,437,4.6,49
7980,5000,2980,418,4.4,44
7080,5000,2080,402,4.2,53
7980,5000,2980,437,4.6,52
7420,5000,2420,414,4.3,58
7980,5000,2980,433,4.6,37
6840,5000,1840,384,4.1,67
7620,5000,2620,417,4.4,49
7440,5000,2440,416,4.4,67
7260,5000,2260,392,4.2,60
7620,5000,2620,416,4.4,60
7980,5000,2980,426,4.4,57
7080,5000,2080,400,4.3,59
7440,5000,2440,414,4.4,58
6720,5000,1720,369,4.0,70
7060,5000,2060,396,4.2,48
8160,5000,3160,445,4.5,44
7440,5000,2440,403,4.3,52
7440,5000,2440,405,4.3,71
7260,5000,2260,406,4.4,55
7080,5000,2080,400,4.2,68
7620,5000,2620,422,4.4,38
8400,5000,3400,463,4.7,38
7260,5000,2260,400,4.3,67
7620,5000,2620,415,4.5,53
7980,5000,2980,425,4.4,45
7800,5000,2800,428,4.4,43
7600,5000,2600,438,4.4,48
6900,5000,1900,387,4.1,63
7620,5000,2620,420,4.6,65
7080,5000,2080,394,4.2,64
7620,5000,2620,412,4.3,72
7260,5000,2260,391,4.2,58
6840,5000,1840,396,4.2,64
7800,5000,2800,425,4.4,61
7420,5000,2420,429,4.5,44
7620,5000,2620,425,4.5,42
5820,5000,820,327,3.5,55
7800,5000,2800,431,4.5,28
8160,5000,3160,458,4.6,31
7440,5000,2440,413,4.3,40
7620,5000,2620,419,4.5,43
7260,5000,2260,403,4.3,53
7260,5000,2260,394,4.2,47
6720,5000,1720,371,4.0,56
7440,5000,2440,415,4.4,52
7620,5000,2620,419,4.4,48
6900,5000,1900,395,4.2,70
7800,5000,2800,425,4.4,35
7800,5000,2800,433,4.5,34
7440,5000,2440,412,4.3,43
6540,5000,1540,359,3.9,68
7980,5000,2980,425,4.4,33
